custid,yearmonthid,kwh
61,201007,1180
62,200808,822
62,200809,1001
62,200810,797
62,200811,779
62,200812,997
62,200901,1138
62,200902,1007
62,200903,1018
62,200904,728
62,200905,711
62,200906,641
62,200907,719
62,200908,724
62,200909,666
62,200910,619
62,200911,653
62,200912,775
62,201001,1635
62,201002,1332
62,201003,1115
62,201004,588
62,201005,634
62,201006,536
62,201007,961
63,200808,921
63,200809,1020
63,200810,897
63,200811,1047
63,200812,1557
63,200901,2118
63,200902,2396
63,200903,2002
63,200904,1694
63,200905,1793
63,200906,1195
63,200907,932
63,200908,1031
63,200909,1029
63,200910,1062
63,200911,1263
63,200912,1648
63,201001,2376
63,201002,2306
63,201003,2148
63,201004,1563
63,201005,1439
63,201006,1181
63,201007,1129
64,200808,1100
64,200809,1027
64,200810,910
64,200811,927
64,200812,1252
64,200901,1141
64,200902,1131
64,200903,1304
64,200904,1130
64,200905,1121
64,200906,1044
64,200907,1076
64,200908,851
64,200909,760
64,200910,1013
64,200911,777
64,200912,921
64,201001,1153
64,201002,1020
64,201003,985
64,201004,944
64,201005,765
64,201006,979
64,201007,900
65,200808,1042
65,200809,908
65,200810,959
65,200811,1161
65,200812,1381
65,200901,1639
65,200902,1882
65,200903,1658
65,200904,1123
65,200905,1007
65,200906,1156
65,200907,1033
65,200908,802
65,200909,959
65,200910,815
65,200911,1534
65,200912,1649
65,201001,2390
65,201002,1335
65,201003,1135
65,201004,974
65,201005,685
65,201006,757
65,201007,801
66,200808,238
66,200809,293
66,200810,264
66,200811,300
66,200812,446
66,200901,459
66,200902,391
66,200903,358
66,200904,267
66,200905,309
66,200906,303
66,200907,344
66,200908,348
66,200909,372
66,200910,244
66,200911,284
66,200912,386
66,201001,487
66,201002,338
66,201003,341
66,201004,271
66,201005,325
66,201006,264
66,201007,321
67,200808,212
67,200809,198
67,200810,202
67,200811,178
67,200812,261
67,200901,256
67,200902,216
67,200903,189
67,200904,229
67,200905,207
67,200906,232
67,200907,406
67,200908,333
67,200909,342
67,200910,440
67,200911,319
67,200912,246
67,201001,313
67,201002,241
67,201003,261
67,201004,272
67,201005,247
67,201006,242
67,201007,315
68,200808,1936
68,200809,1634
68,200810,1043
68,200811,1266
68,200812,1488
68,200901,1694
68,200902,2388
68,200903,2291
68,200904,1668
68,200905,1523
68,200906,1969
68,200907,2175
68,200908,1603
68,200909,2073
68,200910,1702
68,200911,1918
68,200912,1848
68,201001,2360
68,201002,1712
68,201003,1993
68,201004,1837
68,201005,1784
68,201006,1532
68,201007,1640
69,200808,404
69,200809,499
69,200810,398
69,200811,444
69,200812,759
69,200901,1144
69,200902,731
69,200903,655
69,200904,390
69,200905,405
69,200906,372
69,200907,427
69,200908,437
69,200909,407
69,200910,411
69,200911,476
69,200912,557
69,201001,892
69,201002,733
69,201003,827
69,201004,325
69,201005,436
69,201006,398
69,201007,641
70,200808,691
70,200809,638
70,200810,650
70,200811,749
70,200812,510
70,200901,896
70,200902,576
70,200903,1207
70,200904,522
70,200905,601
70,200906,601
70,200907,658
70,200908,699
70,200909,667
70,200910,630
70,200911,610
70,200912,559
70,201001,833
70,201002,618
70,201003,516
70,201004,491
70,201005,487
70,201006,529
70,201007,600
71,200808,305
71,200809,278
71,200810,279
71,200811,289
71,200812,431
71,200901,496
71,200902,548
71,200903,459
71,200904,448
71,200905,366
71,200906,293
71,200907,291
71,200908,299
71,200909,357
71,200910,483
71,200911,868
71,200912,525
71,201001,819
71,201002,670
71,201003,534
71,201004,568
71,201005,467
71,201006,409
71,201007,489
72,200808,638
72,200809,631
72,200810,884
72,200811,609
72,200812,815
72,200901,1535
72,200902,1658
72,200903,1253
72,200904,998
72,200905,555
72,200906,467
72,200907,527
72,200908,500
72,200909,541
72,200910,511
72,200911,363
72,200912,500
72,201001,1506
72,201002,1232
72,201003,1077
72,201004,629
72,201005,442
72,201006,342
72,201007,580
73,200808,713
73,200809,691
73,200810,665
73,200811,736
73,200812,769
73,200901,932
73,200902,716
73,200903,1665
73,200904,618
73,200905,676
73,200906,676
73,200907,544
73,200908,664
73,200909,673
73,200910,644
73,200911,707
73,200912,520
73,201001,751
73,201002,851
73,201003,749
73,201004,762
73,201005,700
73,201006,417
73,201007,566
74,200808,864
74,200809,626
74,200810,396
74,200811,423
74,200812,467
74,200901,740
74,200902,514
74,200903,481
74,200904,348
74,200905,363
74,200906,424
74,200907,913
74,200908,715
74,200909,780
74,200910,442
74,200911,397
74,200912,424
74,201001,682
74,201002,455
74,201003,406
74,201004,365
74,201005,360
74,201006,859
74,201007,1035
75,200808,431
75,200809,444
75,200810,404
75,200811,577
75,200812,876
75,200901,2551
75,200902,2171
75,200903,4136
75,200904,1315
75,200905,697
75,200906,697
75,200907,443
75,200908,340
75,200909,372
75,200910,316
75,200911,1174
75,200912,1345
75,201001,1896
75,201002,2078
75,201003,1921
75,201004,955
75,201005,632
75,201006,412
75,201007,435
76,200808,944
76,200809,831
76,200810,763
76,200811,733
76,200812,890
76,200901,806
76,200902,709
76,200903,707
76,200904,567
76,200905,611
76,200906,737
76,200907,899
76,200908,990
76,200909,995
76,200910,799
76,200911,873
76,200912,861
76,201001,828
76,201002,829
76,201003,774
76,201004,675
76,201005,712
76,201006,602
76,201007,1216
77,200808,1039
77,200809,1036
77,200810,1105
77,200811,1285
77,200812,1492
77,200901,1695
77,200902,1549
77,200903,1329
77,200904,1088
77,200905,1009
77,200906,1041
77,200907,1156
77,200908,844
77,200909,1080
77,200910,817
77,200911,932
77,200912,1096
77,201001,1207
77,201002,918
77,201003,795
77,201004,919
77,201005,895
77,201006,979
77,201007,933
78,200808,505
78,200809,471
78,200810,316
78,200811,404
78,200812,542
78,200901,688
78,200902,589
78,200903,499
78,200904,435
78,200905,397
78,200906,346
78,200907,356
78,200908,345
78,200909,413
78,200910,415
78,200911,438
78,200912,502
78,201001,641
78,201002,481
78,201003,486
78,201004,382
78,201005,392
78,201006,395
78,201007,402
79,200808,0
79,200809,0
79,200810,0
79,200811,0
79,200812,0
79,200901,0
79,200902,0
79,200903,0
79,200904,0
79,200905,0
79,200906,0
79,200907,0
79,200908,0
79,200909,0
79,200910,0
79,200911,0
79,200912,0
79,201001,0
79,201002,0
79,201003,0
79,201004,0
79,201005,0
79,201006,0
79,201007,0
80,200808,554
80,200809,483
80,200810,393
80,200811,575
80,200812,662
80,200901,889
80,200902,691
80,200903,748
80,200904,493
80,200905,470
80,200906,329
80,200907,569
80,200908,545
80,200909,411
80,200910,473
80,200911,556
80,200912,560
80,201001,840
